window	gate_status	branch	execution_bias	execution_score	decision_hint	execution_readiness	prediction_vote_score	hybrid_transition_hazard	duration_remaining_expected_bars	branch_probability	path_ranker_score_used_by_execution_tree	path_ranker_score_visible_to_execution_tree	ranker_score_path_id	ranker_score_runtime_source	ranker_score_raw_path_score	ranker_score_calibrated_path_prob	ranker_score_path_prob_lower_bound	ranker_score_execution_gate_status	path_ranker_runtime_source	path_ranker_model_family	ranker_validation_ready	readiness_gap_to_observe	readiness_gap_to_ready	top_positive_feature	top_positive_contribution	top_negative_feature	top_negative_contribution	pythagorean_overstretch	ising_phase_transition_risk	spectral_entropy	dominant_cycle_energy	cycle_phase_alignment	consumer_reason
001	blocked	block_crowded	skip	0.568692	execution_blocked_regardless_of_prediction	0.414500	0.575600			0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.035500	0.235500	ising_phase_transition_risk	0.434354	branch_probability	-0.500000		0.265600	0.502000	0.388000	-0.332600	market_state=TrendExpansion/BullTrendAcceleration | execution=blocked/block_crowded/skip | ranker=registered_artifact/catboost/not_ready
002	blocked	block_crowded	passive	0.443160	execution_blocked_regardless_of_prediction	0.214600	0.571000		2.050000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.235400	0.435400	cycle_phase_alignment	0.907432	branch_probability	-0.500000	0.247900		0.461600		0.907400	market_state=TrendExpansion/BullTrendAcceleration | execution=blocked/block_crowded/passive | ranker=registered_artifact/catboost/not_ready
003	observe	transition_guardrail	guarded	0.576954	execution_guarded_due_to_low_remaining_regime_duration	0.467100	0.578800	0.651000	1.050000	0.500000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.000000	0.182900	dominant_cycle_energy	0.613226	pythagorean_overstretch	-0.300000	1.000000	0.295900	0.271600	0.763200		market_state=ExtremeStress/VolatilitySpike | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
004	observe	transition_guardrail	guarded	0.556688	execution_guarded_due_to_low_remaining_regime_duration	0.410700	0.570900	0.545000	0.050000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.039300	0.239300	cycle_phase_alignment	0.979963	branch_probability	-0.500000		0.262600	0.478200		0.980000	market_state=RangeConsolidation/WideRange | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
005	observe	transition_guardrail	guarded	0.572867	execution_guarded_due_to_low_remaining_regime_duration	0.473300	0.577300	0.656000	0.000000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.000000	0.176700	cycle_phase_alignment	0.674577	branch_probability	-0.500000	0.407600	0.294100	0.462100		0.674600	market_state=RangeConsolidation/WideRange | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
006	observe	transition_guardrail	guarded	0.554032	execution_guarded_due_to_low_remaining_regime_duration	0.425900	0.570100	0.680000	0.000000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.024100	0.224100	cycle_phase_alignment	0.871870	branch_probability	-0.500000	1.000000	0.270700			0.871900	market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
007	observe	transition_guardrail	guarded	0.575083	execution_guarded_due_to_low_remaining_regime_duration	0.398800	0.572900	0.573000	0.000000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.051200	0.251200	ising_phase_transition_risk	0.425846	branch_probability	-0.500000	1.000000	0.274200			0.297500	market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
008	observe	transition_guardrail	guarded	0.552962	execution_guarded_due_to_low_remaining_regime_duration	0.359600	0.569600	0.545000	0.000000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.090400	0.290400	cycle_phase_alignment	0.871468	branch_probability	-0.500000		0.290000		0.337800	0.871500	market_state=RangeConsolidation/WideRange | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
009	observe	transition_guardrail	guarded	0.544580	execution_guarded_due_to_low_remaining_regime_duration	0.374900	0.566900	0.578000	0.000000	0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.075100	0.275100	ising_phase_transition_risk	0.455464	branch_probability	-0.500000	1.000000	0.244500		0.463200	0.352000	market_state=RangeConsolidation/WideRange | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
010	observe	transition_guardrail	guarded	0.584516	execution_guarded_due_to_low_remaining_regime_duration	0.490000	0.576600	0.664000	0.450000	0.432773	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.000000	0.160000	cycle_phase_alignment	0.650003	execution_readiness	-0.160013		0.299400	0.433000	0.407500	0.650000	market_state=RangeConsolidation/Distribution | execution=observe/transition_guardrail/guarded | ranker=registered_artifact/catboost/not_ready
011	blocked	block_crowded	skip	0.560070	execution_blocked_regardless_of_prediction	0.316000	0.572500			0.000000	true	true	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary	registered_artifact	0.647750				registered_artifact	catboost	false	0.134000	0.334000	cycle_phase_alignment	0.936899	branch_probability	-0.500000		0.281500		0.504500	0.936900	market_state=TrendExpansion/BullTrendAcceleration | execution=blocked/block_crowded/skip | ranker=registered_artifact/catboost/not_ready
